Time,X1 Lowest Value,X2 Lowest Value,X3 Lowest Value,X1 Duration,X2 Duration,X3 Duration,id,dev_eui,threshold_type_id,thresholdType,alertType,datecreated_utc,datecreated,latitude,longitude,LPState,node,poleId,resolved,subpanel_id,resolved_date,user_id,jsonData,template_name,tln,subpanel_name,local_timezone,cableKit,duration,alertvalue,threshold_value,transformer_alimentador_835,user_name,x1_averagePeakValue,x2_averagePeakValue,x3_averagePeakValue
03/23/2025 11:54:54 AM,113.5,,113.5,0.961,,0.961,19823.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/23/2025 05:54:54 PM,03/23/2025 11:54:54 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":16016,""deviceTimestamp"":1742752490,""receivedAtTimestamp"":1742752489319,""value"":113.5,""customerId"":""646703"",""serverTimestamp"":1742752489895},{""phase"":2,""alertDuration"":16016,""deviceTimestamp"":1742752490,""receivedAtTimestamp"":1742752489831,""value"":113.5,""customerId"":""646703"",""serverTimestamp"":1742752490397}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1742752490,""serverTimestamp"":1742752489895}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
03/24/2025 05:46:22 AM,108.2,,108.2,16.436,,16.436,19894.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/24/2025 11:46:22 AM,03/24/2025 05:46:22 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":273936,""deviceTimestamp"":1742816777,""receivedAtTimestamp"":1742816777185,""value"":108.2,""customerId"":""646703"",""serverTimestamp"":1742816777499},{""phase"":2,""alertDuration"":273936,""deviceTimestamp"":1742816777,""receivedAtTimestamp"":1742816777663,""value"":108.2,""customerId"":""646703"",""serverTimestamp"":1742816777915}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1742816777,""serverTimestamp"":1742816777499}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
03/24/2025 08:18:56 AM,113.2,,113.2,3.488,,3.48,19923.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/24/2025 02:18:56 PM,03/24/2025 08:18:56 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":58128,""deviceTimestamp"":1742825932,""receivedAtTimestamp"":1742825932418,""value"":113.2,""customerId"":""646703"",""serverTimestamp"":1742825932483},{""phase"":2,""alertDuration"":58000,""deviceTimestamp"":1742825932,""receivedAtTimestamp"":1742825933024,""value"":113.2,""customerId"":""646703"",""serverTimestamp"":1742825933025}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1742825932,""serverTimestamp"":1742825932483}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
03/27/2025 05:53:14 AM,91.4,,91.2,0.907,,0.907,20438.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/27/2025 11:53:14 AM,03/27/2025 05:53:14 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":15120,""deviceTimestamp"":1743076390,""receivedAtTimestamp"":1743076390071,""value"":91.4,""customerId"":""646703"",""serverTimestamp"":1743076390171},{""phase"":2,""alertDuration"":15120,""deviceTimestamp"":1743076390,""receivedAtTimestamp"":1743076390581,""value"":91.2,""customerId"":""646703"",""serverTimestamp"":1743076390667}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743076390,""serverTimestamp"":1743076390171}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
03/29/2025 10:56:53 AM,109.6,,109.7,18.963,,18.494,20901.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/29/2025 04:56:53 PM,03/29/2025 10:56:53 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":316048,""deviceTimestamp"":1743267409,""receivedAtTimestamp"":1743267408893,""value"":109.6,""customerId"":""646703"",""serverTimestamp"":1743267408893},{""phase"":2,""alertDuration"":308240,""deviceTimestamp"":1743267409,""receivedAtTimestamp"":1743267409410,""value"":109.7,""customerId"":""646703"",""serverTimestamp"":1743267409411}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743267409,""serverTimestamp"":1743267408893}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
03/30/2025 08:08:34 AM,46.3,,46.5,6.429,,6.421,21044.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/30/2025 02:08:34 PM,03/30/2025 08:08:34 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":107152,""deviceTimestamp"":1743343709,""receivedAtTimestamp"":1743343709334,""value"":46.3,""customerId"":""646703"",""serverTimestamp"":1743343709335},{""phase"":2,""alertDuration"":107024,""deviceTimestamp"":1743343709,""receivedAtTimestamp"":1743343709829,""value"":46.5,""customerId"":""646703"",""serverTimestamp"":1743343709831}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743343709,""serverTimestamp"":1743343709335}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
03/30/2025 08:57:34 AM,102.0,,102.0,5.423,,5.423,21067.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,03/30/2025 02:57:34 PM,03/30/2025 08:57:34 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":90384,""deviceTimestamp"":1743346649,""receivedAtTimestamp"":1743346648797,""value"":102,""customerId"":""646703"",""serverTimestamp"":1743346648798},{""phase"":2,""alertDuration"":90384,""deviceTimestamp"":1743346649,""receivedAtTimestamp"":1743346649292,""value"":102,""customerId"":""646703"",""serverTimestamp"":1743346649292}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743346649,""serverTimestamp"":1743346648798}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
04/01/2025 10:55:16 AM,112.1,,112.2,2.459,,2.459,21478.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,04/01/2025 04:55:16 PM,04/01/2025 10:55:16 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":40976,""deviceTimestamp"":1743526513,""receivedAtTimestamp"":1743526512156,""value"":112.1,""customerId"":""646703"",""serverTimestamp"":1743526512157},{""phase"":2,""alertDuration"":40976,""deviceTimestamp"":1743526513,""receivedAtTimestamp"":1743526512673,""value"":112.2,""customerId"":""646703"",""serverTimestamp"":1743526512674}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743526513,""serverTimestamp"":1743526512157}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
04/02/2025 06:54:02 AM,9.4,,9.6,0.946,,0.946,21609.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,04/02/2025 12:54:02 PM,04/02/2025 06:54:02 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":15760,""deviceTimestamp"":1743598438,""receivedAtTimestamp"":1743598437776,""value"":9.4,""customerId"":""646703"",""serverTimestamp"":1743598437777},{""phase"":2,""alertDuration"":15760,""deviceTimestamp"":1743598438,""receivedAtTimestamp"":1743598438195,""value"":9.6,""customerId"":""646703"",""serverTimestamp"":1743598438195}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743598438,""serverTimestamp"":1743598437777}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
04/02/2025 09:59:15 AM,99.9,,99.7,1.368,,1.368,21699.0,862754053334016.0,7.0,AlertVoltageSag2,Voltage Sag,04/02/2025 03:59:15 PM,04/02/2025 09:59:15 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":22800,""deviceTimestamp"":1743609550,""receivedAtTimestamp"":1743609550030,""value"":99.9,""customerId"":""646703"",""serverTimestamp"":1743609550354},{""phase"":2,""alertDuration"":22800,""deviceTimestamp"":1743609550,""receivedAtTimestamp"":1743609550534,""value"":99.7,""customerId"":""646703"",""serverTimestamp"":1743609550537}],""msgType"":281,""msgStr"":""AlertAggregatedVoltageSag"",""deviceTimestamp"":1743609550,""serverTimestamp"":1743609550354}",Vsag,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,
